,scoreText,scoreTextFrGT
0,0.41000000000000003,0.38249999999999995
1,0.3625,0.38
2,0.3125,0.3125
3,0.07619318181818181,0.08755681818181818
4,0.5,0.5
5,0.7999999999999999,0.7999999999999999
6,0.3366666666666666,0.25749999999999995
7,0.6675,0.5750000000000001
8,0.0,0.0
9,0.23500000000000001,0.24409090909090905
10,0.26666666666666666,0.26666666666666666
11,0.2953125,0.2953125
12,0.55,0.55
13,0.48142857142857143,0.44857142857142857
14,0.43,0.37857142857142856
15,0.675,0.6499999999999999
16,-0.0020089285714285842,-0.04218750000000001
17,0.316,0.36333333333333334
18,0.454,0.3275
19,0.125,0.125
20,0.3625,0.3625
21,0.3666666666666667,0.4
23,-0.25500000000000006,-0.17
24,0.5666666666666667,0.5666666666666667
25,0.325,0.37
26,0.15,0.15
27,0.3,0.3333333333333333
29,0.85,0.85
30,1.0,1.0
31,0.4875,0.4875
32,0.4625,0.4375
33,0.42375,0.38375000000000004
34,0.21250000000000002,0.21250000000000002
35,1.0,1.0
36,0.0,0.0
37,0.85,0.584375
38,0.7,0.2
39,0.4400000000000001,0.6000000000000001
40,0.0,0.1
41,0.72875,0.6187499999999999
42,0.33382352941176474,0.3338235294117647
43,0.6666666666666666,0.6666666666666666
44,1.0,1.0
45,0.0,0.0
46,0.85,0.85
47,1.0,1.0
48,0.5,0.5
49,0.28125,0.28125
50,0.43333333333333335,0.35125
51,0.21000000000000002,0.2066666666666667
52,0.85,0.85
53,0.4166666666666667,0.4166666666666667
54,0.4525,0.4525
55,0.15333333333333335,0.19999999999999998
56,0.2355,0.2355
57,0.19151785714285716,0.0007812500000000111
58,0.45,0.5
59,0.30000000000000004,0.30000000000000004
60,0.275,0.3833333333333333
61,-0.10750000000000001,-0.10750000000000001
62,0.675,0.5625
63,0.7,0.7
64,0.405,0.6000000000000001
65,0.428125,0.39999999999999997
66,0.5133333333333333,0.5133333333333333
67,0.35,0.35
68,0.7,0.7
69,0.4166666666666667,0.5499999999999999
70,0.619,0.59875
71,0.44166666666666665,0.44166666666666665
72,0.384,0.425
73,-0.475,-0.475
74,0.0625,0.38125
75,0.32999999999999996,0.3625
76,0.34375,0.625
77,0.6625000000000001,0.0
78,0.35,0.35
79,0.25199999999999995,0.20222222222222222
80,0.0,-0.005
81,0.05,0.05
82,0.115625,0.12142857142857144
83,0.42142857142857143,0.42142857142857143
84,0.32062500000000005,0.27388888888888885
85,0.33499999999999996,0.48333333333333334
86,1.0,1.0
87,0.2475,0.2475
89,0.5625,0.44166666666666665
90,0.4600000000000001,0.525
91,0.0,0.0
92,0.5375000000000001,0.5375000000000001
93,0.426,0.2928571428571428
94,0.0,0.0
95,0.575,0.5
96,0.44999999999999996,0.5375
97,0.25,0.22999999999999998
98,0.6499999999999999,0.7
99,0.4125,0.5125
100,0.625,0.64375
101,0.32857142857142857,0.35000000000000003
102,0.3833333333333333,0.5249999999999999
103,0.45999999999999996,0.16
104,0.5291666666666667,0.5291666666666667
105,0.13333333333333333,0.13333333333333333
106,0.7,0.7
107,0.5333333333333333,0.5333333333333333
108,1.0,0.8
110,0.5333333333333333,0.5083333333333333
111,0.5542857142857143,0.5542857142857143
112,0.0,0.4066666666666667
113,0.325,0.66
114,0.8,0.8
115,0.4041666666666666,0.4041666666666666
116,0.35375,0.263
117,1.0,1.0
118,0.065,0.08666666666666667
119,1.0,1.0
120,0.07416666666666671,0.26890625
121,0.4225,0.4625
122,0.356,0.476
123,0.404,0.404
125,0.7000000000000001,0.7999999999999999
126,0.35,0.35
127,0.4083333333333334,0.4083333333333334
128,0.20833333333333334,0.315
129,0.15,0.15
130,0.43333333333333335,0.4749999999999999
131,0.8,0.8
132,0.27,0.27
133,0.375,0.375
134,0.6499999999999999,0.5457142857142856
135,-0.08333333333333333,-0.16999999999999998
136,0.5,0.5
137,0.6187499999999999,0.6187499999999999
138,0.7,0.7
139,0.07166666666666667,0.10692307692307693
142,0.27609953703703705,0.25424768518518515
143,-0.252,-0.252
146,0.6025,0.6025
147,1.0,0.0
148,-0.15,-0.19999999999999996
153,0.9,0.9
154,0.48333333333333334,0.65
156,0.525,0.025
158,0.0,0.0
160,0.4,0.6
161,0.6666666666666666,0.5333333333333333
162,0.3285714285714286,0.38749999999999996
163,0.5833333333333334,0.5833333333333334
164,0.0,0.0
166,0.0,0.0
170,0.0,0.0
172,0.5833333333333334,0.5166666666666667
174,0.505,1.0
175,0.35,0.85
179,0.6333333333333333,0.7000000000000001
182,0.5766666666666667,0.5766666666666667
185,0.49972039473684216,0.47340460526315786
187,0.22,0.22
188,0.725,0.725
191,0.7,0.7
192,0.23000000000000004,0.23000000000000004
193,0.10214285714285716,0.18937500000000002
195,1.0,1.0
196,0.2833333333333333,0.2833333333333333
202,0.85,0.85
203,0.7,0.7
204,1.0,1.0
205,0.349,0.19083333333333333
207,0.30399999999999994,0.30399999999999994
210,0.53,0.53
216,0.2925,0.32781249999999995
220,1.0,1.0
221,0.5,0.5
222,0.3666666666666667,0.30666666666666664
230,0.41250000000000003,0.41250000000000003
232,0.7,0.7
235,0.4833333333333334,0.4833333333333334
239,0.06285714285714285,0.06285714285714285
243,0.45999999999999996,0.4066666666666667
244,-0.075,-0.125
246,0.3,0.5
247,0.45,0.45
252,0.8,0.3
257,0.4285714285714285,0.4285714285714285
259,0.27499999999999997,0.27499999999999997
265,0.355,0.36999999999999994
274,0.225,0.125
276,0.7,0.7
278,0.0,1.0
281,0.2,0.7
295,0.4,0.4
296,0.875,0.875
297,-0.10000000000000002,-0.10000000000000002
298,0.125,0.125
300,0.34414062500000003,0.34414062500000003
303,0.0,0.0
308,-0.2352864583333333,-0.064912109375
309,0.55,0.55
316,0.6499999999999999,0.6499999999999999
326,-0.049999999999999996,-0.049999999999999996
327,-0.08666666666666667,-0.10200000000000001
331,0.40249999999999997,0.40249999999999997
332,0.375,0.375
336,1.0,1.0
340,-0.3,-0.125
342,0.875,0.875
343,0.8,0.8
345,0.5,0.5
347,0.2,0.2
348,0.7,0.7
355,0.9765625,0.9765625
359,0.375,0.675
360,0.4,0.4
361,0.18,0.18
362,0.38636363636363635,0.38636363636363635
363,0.135,0.135
364,0.0,0.0
365,0.7,0.7
366,0.18,0.18
367,0.18,0.18
